CULTIVOS;MEDIA-superficie;2022-superficie;2023-superficie;Variacion-100-superficie;MEDIA-produccion;2022-produccion;2023-produccion;Variacion-100-produccion
 CHUFA;0;0;0;0;0;0;0;0
HORTALIZAS;;;;;;;;
ALCACHOFA;1.034;1.175;1.169;99,5;15.516;17.214;14.237;82,7
BERENJENA;70;92;74;80,4;1.787;2.625;2.296;87,5
BRÓCULI;71;209;209;100;1.504;4.389;4.130;94,1
CEBOLLA;224;206;186;90,3;5.057;4.683;4.462;95,3
COL Y REPOLLO;285;542;447;82,5;8.979;17.885;16.480;92,1
COLIFLOR;365;301;279;92,7;9.091;7.465;6.056;81,1
ESCAROLA;134;257;199;77,4;2.967;6.425;4.911;76,4
ESPINACA;17;10;6;60;344;225;131;58,2
HABA VERDE;70;62;62;100;625;558;580;103,9
JUDÍA VERDE;272;127;108;85;4.634;2.406;2.246;93,3
LECHUGA;541;386;320;82,9;10.829;9.335;7.478;80,1
MELÓN;410;251;189;75,3;8.445;5.949;5.725;96,2
PEPINO;69;69;67;97,1;1.894;2.190;2.143;97,9
PIMIENTO;128;125;110;88;2.882;3.238;3.130;96,7
Sandía;499;358;258;72,1;10.839;9.876;9.172;92,9
TOMATE;533;493;502;101,8;15.486;17.115;18.471;107,9
OTROS CULTIVOS HERBÁCEOS;;;;;;;;
 ALFALFA;281;321;246;76,6;6.397;5.835;3.685;63,2
 FLORES (1);5;5;5;100;206;125;225;180
PLANTAS DE VIVERO (1);212;438;461;105,3;14.578;41.462;34.076;82,2
CÍTRICOS (2);;;;;;;;
 NARANJO DULCE;5.972;6.979;7.259;104;118.609;124.083;133.232;107,4
 MANDARINO;30.351;24.656;24.337;98,7;578.837;502.235;434.073;86,4
 LIMONERO;36;87;87;100;667;595;770;129,4
FRUTALES;;;;;;;;
MANZANA;88;53;53;100;706;385;393;102,1
PERA;170;101;72;71,3;1.468;1.032;805;78
NÍSPERO;186;133;113;85;798;713;1.022;143,3
ALBARICOQUE;209;141;131;92,9;963;804;706;87,8
CEREZA;650;570;470;82,5;961;1.350;1.777;131,6
MELOCOTÓN (3);377;316;316;100;1.986;2.119;2.260;106,7
CIRUELA;107;80;80;100;615;551;579;105,1
GRANADA;59;118;118;100;285;2.160;2.355;109
CAQUI;207;152;126;82,9;1.631;2.025;1.914;94,5
AGUACATE;115;633;758;119,7;309;2.100;3.675;175
ALMENDRA;37.181;34.000;30.894;90,9;8.227;10.577;8.943;84,6
VIÑEDO;;;;;;;;
 UVA DE MESA;99;38;35;92,1;206;77;71;92,2
 UVA DE VINIFICACIÓN;786;731;728;99,6;1.311;217;498;229,5
 VINO+MOSTO (4);;;;;3,72;1,61;3,28;204,3
OLIVAR;;;;;;;;
 OLIVO;32.968;32.173;29.998;93,2;33.788;5.306;43.669;823
 ACEITE DE OLIVA;;;;;6.985;920;9.179;997,7
OTROS CUTIVOS LEÑOSOS;;;;;;;;
 ALGARROBA (GARROFA);7.861;7.725;7.325;94,8;3.332;3.650;3.319;90,9
CEREALES PARA GRANO;;;;;;;;
 ARROZ;14.699;14.459;14.783;102,2;117.755;89.034;93.853;105,4
 TRIGO;2.201;2.898;3.013;104;4.373;5.332;1.841;34,5
 CEBADA;9.366;7.634;7.649;100,2;17.559;15.400;3.776;24,5
 MAÍZ;189;88;80;90,9;2.262;1.408;992;70,5
TUBÉRCULOS C. HUMANO;;;;;;;;
 PATATA;903;1.019;1.047;102,7;31.660;42.413;40.274;95
 CHUFA;526;610;582;95,4;8.525;9.091;7.159;78,7
HORTALIZAS;;;;;;;;
ALCACHOFA;990;1.027;1.027;100;15.128;19.333;21.567;111,6
BERENJENA;104;119;119;100;5.778;7.497;7.497;100
BRÓCULI;0;44;98;0;0;1.320;1.176;0
CEBOLLA;1.015;1.121;1.111;99,1;56.923;58.493;66.660;114
COL Y REPOLLO;690;913;811;88,8;28.100;41.028;36.413;88,8
COLIFLOR;476;616;611;99,2;11.121;16.842;16.497;98
ESCAROLA;102;118;118;100;3.089;4.463;4.248;95,2
ESPINACA;190;193;193;100;3.079;3.509;4.439;126,5
HABA VERDE;84;91;86;94,5;421;487;1.032;211,9
JUDÍA VERDE;83;90;81;90;985;1.305;1.962;150,3
LECHUGA;437;467;474;101,5;16.532;20.986;21.617;103
MELÓN;114;102;91;89,2;3.744;3.672;3.276;89,2
PEPINO;21;23;19;82,6;1.253;1.345;1.334;99,2
PIMIENTO;333;372;380;102,2;17.074;24.180;24.705;102,2
SANDÍA;873;835;876;104,9;42.099;45.925;39.610;86,2
TOMATE;159;188;208;110,6;7.054;8.620;8.850;102,7
OTROS CULTIVOS HERBÁCEOS;;;;;;;;
 ALFALFA;310;247;167;67,6;4.563;5.798;3.071;53
 FLORES (1);18;14;14;100;554;552;552;100
PLANTAS DE VIVERO (1);1.121;1.329;1.682;126,6;42.710;51.034;48.316;94,7
CÍTRICOS (2);;;;;;;;
 NARANJO DULCE;53.182;54.718;53.688;98,1;1.248.822;1.106.768;964.665;87,2
 MANDARINO;42.709;33.397;32.966;98,7;825.874;599.106;583.895;97,5
 LIMONERO;71;290;304;104,8;1.155;1.663;2.729;164,1
FRUTALES;;;;;;;;
MANZANA;174;96;75;78,1;1.778;786;1.123;142,9
PERA;72;32;36;112,5;520;236;585;247,9
NÍSPERO;62;38;36;94,7;220;513;594;115,8
ALBARICOQUE;3.003;2.225;2.131;95,8;12.875;12.783;16.019;125,3
CEREZA;72;87;89;102,3;123;125;136;108,8
MELOCOTÓN (3);4.397;2.934;2.650;90,3;27.402;25.760;30.571;118,7
CIRUELA;1.529;970;890;91,8;6.197;9.411;8.580;91,2
GRANADA;544;529;480;90,7;4.087;4.473;6.608;147,7
CAQUI;13.606;14.400;14.050;97,6;327.045;404.885;404.396;99,9
AGUACATE;353;1.180;1.510;128;1.160;9.246;11.673;126,2
ALMENDRA;34.430;35.226;35.633;101,2;12.143;15.282;19.964;130,6
VIÑEDO;;;;;;;;
 UVA DE MESA;269;188;188;100;684;174;182;104,6
 UVA DE VINIFICACIÓN;48.171;45.747;45.570;99,6;252.577;281.173;180.462;64,2
 VINO+MOSTO (4);;;;;2.261,60;2.220,90;1.262,00;56,8
OLIVAR;;;;;;;;
 OLIVO;31.515;31.728;31.858;100,4;39.658;11.156;35.641;319,5
 ACEITE DE OLIVA;;;;;7.398;2.042;6.104;298,9
OTROS CUTIVOS LEÑOSOS;;;;;;;;
 ALGARROBA (GARROFA);9.435;8.754;8.850;101,1;6.481;9.276;9.107;98,2
