CULTIVOS;MEDIA-superficie;2022-superficie;2023-superficie;Variacion-100-superficie;MEDIA-produccion;2022-produccion;2023-produccion;Variacion-100-produccion
CEREALES PARA GRANO;;;;;;;;
 ARROZ;15.206;15.021;15.365;102,3;120.184;90.848;95.943;105,6
 TRIGO;4.429;5.100;5.578;109,4;9.452;9.931;3.997;40,2
 CEBADA;16.343;13.085;12.796;97,8;28.653;23.906;9.111;38,1
 MAÍZ;556;352;296;84,1;5.243;4.040;3.336;82,6
TUBÉRCULOS C. HUMANO;;;;;;;;
 PATATA;2.156;2.402;2.426;101;61.967;73.388;80.723;110
 CHUFA;526;610;582;95,4;8.525;9.091;7.159;78,7
HORTALIZAS;;;;;;;;
ALCACHOFA;4.098;4.853;4.885;100,7;59.724;75.032;73.795;98,4
BERENJENA;243;261;235;90;11.084;12.742;11.954;93,8
BRÓCULI;2.379;3.198;3.317;103,7;51.030;68.806;65.789;95,6
CEBOLLA;1.722;1.784;1.728;96,9;80.019;82.580;89.726;108,7
COL Y REPOLLO;1.191;1.821;1.759;96,6;44.647;74.931;68.005;90,8
COLIFLOR;1.223;1.464;1.443;98,6;29.676;37.982;36.763;96,8
ESCAROLA;442;540;449;83,1;12.355;16.333;13.602;83,3
ESPINACA;471;373;384;102,9;9.775;7.474;8.803;117,8
HABA VERDE;619;520;441;84,8;6.342;5.449;5.198;95,4
JUDÍA VERDE;409;259;231;89,2;6.247;4.341;4.838;111,4
LECHUGA;2.007;1.714;1.680;98;58.962;57.485;59.495;103,5
MELÓN;1.583;1.201;1.200;99,9;41.143;35.108;34.739;98,9
PEPINO;156;138;132;95,7;6.335;5.915;5.881;99,4
PIMIENTO;779;918;911;99,2;54.947;55.868;69.431;124,3
SANDÍA;1.627;1.501;1.404;93,5;66.352;70.246;61.392;87,4
TOMATE;1.199;1.067;1.037;97,2;73.232;63.029;59.101;93,8
OTROS CULTIVOS HERBÁCEOS;;;;;;;;
 ALFALFA;1.714;1.405;1.313;93,5;80.338;61.755;63.222;102,4
 FLORES (1);115;78;72;92,3;5.146;2.901;2.725;93,9
 P. ORNAMENTAL (1);1.707;2.185;4.546;208,1;68.841;115.659;104.728;90,5
CÍTRICOS (2);;;;;;;;
 NARANJO DULCE;72.033;71.648;71.190;99,4;1.639.904;1.416.555;1.288.026;90,9
 MANDARINO;80.031;64.852;64.132;98,9;1.529.452;1.229.795;1.145.194;93,1
 LIMONERO;11.236;17.367;16.907;97,4;267.034;242.830;351.973;144,9
FRUTALES;;;;;;;;
 MANZANA;819;530;489;92,3;9.312;4.323;7.141;165,2
 PERA;493;260;221;85;5.328;2.630;3.547;134,9
 NÍSPERO;1.163;1.079;1.031;95,6;15.526;14.030;14.954;106,6
 ALBARICOQUE;3.707;2.981;2.847;95,5;17.423;14.972;20.775;138,8
 CEREZA;2.734;2.605;2.486;95,4;6.090;3.313;9.512;287,1
 MELOCOTÓN (3);5.276;3.684;3.381;91,8;34.041;30.207;37.413;123,9
 CIRUELA;2.058;1.381;1.288;93,3;10.334;11.675;12.717;108,9
 GRANADA;3.487;3.678;3.516;95,6;48.072;56.724;70.432;124,2
 CAQUI;13.867;14.639;14.263;97,4;329.083;407.085;406.665;99,9
 AGUACATE;676;2.310;2.874;124,4;2.807;12.848;17.401;135,4
 ALMENDRA;94.643;91.400;88.586;96,9;33.976;33.786;38.670;114,5
VIÑEDO;;;;;;;;
 UVA DE MESA;5.823;5.317;5.276;99,2;88.158;97.231;92.065;94,7
 UVA DE VINIFICACIÓN;60.121;56.773;56.391;99,3;286.148;310.324;200.076;64,5
 VINO+MOSTO (4);;-;;;2.504,40;2.436,70;1.407,10;57,7
OLIVAR;;;;;;;;
 OLIVO;92.568;93.151;91.236;97,9;115.203;44.699;121.810;272,5
 ACEITE DE OLIVA;;-;;;22.908;8.586;22.809;265,7
OTROS CUTIVOS LEÑOSOS;;;;;;;;
 ALGARROBA (GARROFA);18.110;17.244;16.849;97,7;10.747;13.869;13.527;97,5
CEREALES PARA GRANO;;;;;;;;
ARROZ (CÁSCARA);354;414;430;103,9;1.234;794;1.417;178,5
TRIGO;1.429;1.482;1.682;113,5;3.683;3.482;1.498;43
CEBADA;3.253;2.574;2.494;96,9;5.953;4.616;2.497;54,1
MAÍZ;249;200;180;90;2.531;2.399;2.250;93,8
TUBÉRCULOS C. HUMANO;;;;;;;;
PATATA TOTAL;779;946;946;100;19.934;20.034;30.194;150,7
CHUFA;0;0;0;0;0;0;0;0
HORTALIZAS;;;;;;;;
ALCACHOFA;2.075;2.651;2.689;101,4;29.080;38.485;37.991;98,7
BERENJENA;70;50;42;84;3.519;2.620;2.161;82,5
BRÓCULI;2.308;2.945;3.010;102,2;49.526;63.097;60.483;95,9
CEBOLLA;483;457;431;94,3;18.039;19.404;18.604;95,9
COL Y REPOLLO;216;366;501;136,9;7.568;16.018;15.112;94,3
COLIFLOR;382;547;553;101,1;9.464;13.675;14.210;103,9
ESCAROLA;205;165;132;80;6.300;5.445;4.443;81,6
ESPINACA;264;170;185;108,8;6.352;3.740;4.233;113,2
HABA VERDE;465;367;293;79,8;5.296;4.404;3.586;81,4
JUDÍA VERDE;53;42;42;100;628;630;630;100
LECHUGA;1.030;861;886;102,9;31.601;27.164;30.400;111,9
MELÓN;1.060;848;920;108,5;28.954;25.487;25.738;101
PEPINO;66;46;46;100;3.188;2.380;2.404;101
PIMIENTO;318;421;421;100;34.991;28.450;41.596;146,2
SANDÍA;255;308;270;87,7;13.414;14.445;12.610;87,3
TOMATE;508;386;327;84,7;50.692;37.294;31.780;85,2
OTROS CULTIVOS HERBÁCEOS;;;;;;;;
ALFALFA;1.124;837;900;107,5;69.377;50.122;56.466;112,7
FLORES (1);92;59;53;89,8;4.387;2.224;1.948;87,6
PLANTAS DE VIVERO (1);375;418;2.403;574,9;11.554;23.163;22.336;96,4
CÍTRICOS (2);;;;;;;;
NARANJO DULCE;12.879;9.951;10.243;102,9;272.472;185.704;190.129;102,4
MANDARINO;6.972;6.799;6.829;100,4;124.740;128.454;127.226;99
LIMONERO;11.129;16.990;16.516;97,2;265.212;240.572;348.474;144,9
FRUTALES;;;;;;;;
MANZANA;557;381;361;94,8;6.828;3.152;5.625;178,5
PERA;251;127;113;89;3.341;1.362;2.157;158,4
NÍSPERO;915;908;882;97,1;14.509;12.804;13.338;104,2
ALBARICOQUE;495;615;585;95,1;3.584;1.385;4.050;292,4
CEREZA;2.012;1.948;1.927;98,9;5.006;1.838;7.599;413,4
MELOCOTÓN (3);502;434;415;95,6;4.654;2.328;4.582;196,8
CIRUELA;423;331;318;96,1;3.522;1.713;3.558;207,7
GRANADA;2.884;3.031;2.918;96,3;43.701;50.091;61.469;122,7
CAQUI;54;87;87;100;407;175;355;202,9
AGUACATE;207;497;606;121,9;1.338;1.502;2.053;136,7
ALMENDRA;23.033;22.174;22.059;99,5;13.606;7.927;9.763;123,2
VIÑEDO;;;;;;;;
UVA DE MESA;5.456;5.091;5.053;99,3;87.268;96.980;91.812;94,7
UVA DE VINIFICACIÓN;11.164;10.295;10.093;98;32.261;28.934;19.116;66,1
VINO+MOSTO (4);;;;;239,1;214;141,8;66,2
OLIVAR;;;;;;;;
OLIVO;28.085;29.250;29.380;100,4;41.757;28.237;42.500;150,5
ACEITE DE OLIVA;;;;;8.526;5.624;7.526;133,8
OTROS CUTIVOS LEÑOSOS;;;;;;;;
ALGARROBA (GARROFA);814;765;674;88,1;935;943;1.101;116,8
CEREALES PARA GRANO;;;;;;;;
 ARROZ;153;148;152;102,7;1.195;1.020;673;66
 TRIGO;799;720;883;122,6;1.396;1.117;658;58,9
 CEBADA;3.724;2.877;2.653;92,2;5.141;3.890;2.838;73
 MAÍZ;118;64;36;56,3;450;233;94;40,3
TUBÉRCULOS C. HUMANO;;;;;;;;
 PATATA;474;437;433;99,1;10.373;10.941;10.255;93,7
