CULTIVOS;MEDIA-superficie;2018-superficie;2019-superficie;Variacion-100-superficie;MEDIA-produccion;2018-produccion;2019-produccion;Variacion-100-produccion
 CIRUELA;2.038;1.176;1.137;96,7;4.359;6.544;9.468;144,7
 GRANADA;316;684;672;98,2;1.690;6.732;7.132;105,9
 CAQUI;9.352;15.803;15.818;100,1;184.800;422.649;428.774;101,4
 AGUACATE;87;356;543;152,5;299;1.408;1.487;105,6
 ALMENDRA;36.421;33.194;33.437;100,7;10.705;14.433;16.296;112,9
VIÑEDO;;;;;;;;
 UVA DE MESA;535;91;91;100;1.131;206;216;104,9
 UVA DE VINIFICACIÓN;51.995;47.362;47.402;100,1;244.104;215.993;306.443;141,9
 VINO+MOSTO (4);;;;;2.147,90;2.396,90;2.341,40;97,7
OLIVAR;;;;;;;;
 OLIVO;31.297;31.862;32.045;100,6;42.351;38.936;36.798;94,5
 ACEITE DE OLIVA;;;;;8.247;6.506;6.185;95,1
OTROS CUTIVOS LEÑOSOS;;;;;;;;
 ALGARROBA (GARROFA);10.384;8.965;8.801;98,2;9.250;8.186;3.923;47,9
