CULTIVOS;MEDIA-superficie;2017-superficie;2018-superficie;Variacion-100-superficie;MEDIA-produccion;2017-produccion;2018-produccion;Variacion-100-produccion
CEREALES PARA GRANO;;;;;;;;
 ARROZ;15.201;15.236;15.374;100,9;120.858;114.396;128.645;112,5
 TRIGO;4.135;4.570;4.399;96,3;8.444;9.331;10.693;114,6
 CEBADA;17.295;14.751;14.126;95,8;31.642;26.342;31.016;117,7
 MAÍZ;683;593;485;81,8;6.486;5.655;4.253;75,2
TUBÉRCULOS C. HUMANO;;;;;;;;
 PATATA;1.979;2.196;2.231;101,6;49.275;61.105;65.291;106,9
 CHUFA;430;516;546;105,8;7.786;8.359;8.845;105,8
HORTALIZAS;;;;;;;;
 ALCACHOFA;3.888;4.365;4.431;101,5;52.745;62.103;59.189;95,3
 BERENJENA;210;265;262;98,9;8.436;13.151;13.518;102,8
 BRÓCULI;2.166;2.231;2.448;109,7;42.838;51.066;53.645;105,1
 CEBOLLA;1.306;1.941;1.866;96,1;55.416;88.607;91.509;103,3
 COL Y REPOLLO;1.006;1.563;1.106;70,8;31.073;58.391;54.994;94,2
 COLIFLOR ;1.065;1.261;1.297;102,9;26.124;30.809;30.841;100,1
 ESCAROLA;367;410;590;143,9;10.738;11.472;15.007;130,8
 ESPINACA;333;486;513;105,6;6.891;10.588;10.491;99,1
 HABAS VERDES;582;648;619;95,5;5.624;6.840;6.053;88,5
 JUDÍAS VERDES;383;451;428;94,9;5.706;7.204;6.471;89,8
 LECHUGA;2.338;2.014;1.980;98,3;61.249;65.830;59.573;90,5
 MELÓN;1.682;1.620;1.486;91,7;41.431;45.871;38.973;85
 PEPINO;160;163;159;97,5;5.618;6.950;6.844;98,5
 PIMIENTO;711;847;830;98;45.151;59.786;58.092;97,2
 SANDÍA;1.858;1.728;1.548;89,6;73.066;74.991;73.741;98,3
 TOMATE;1.278;1.259;1.245;98,9;79.409;75.684;76.663;101,3
OTROS CULTIVOS HERBÁCEOS;;;;;;;;
 ALFALFA;1.697;1.827;1.695;92,8;83.021;90.677;83.630;92,2
 FLORES (1);139;125;125;100;7.190;5.714;5.717;100,1
 P. ORNAMENTAL (1);1.566;1.740;1.797;103,3;65.091;51.953;52.799;101,6
CÍTRICOS (2);;;;;;;;
 NARANJO DULCE;74.730;68.630;70.025;102;1.629.311;1.541.612;1.930.742;125,2
 MANDARINO;86.903;77.595;75.731;97,6;1.608.889;1.358.533;1.775.455;130,7
 LIMONERO;10.174;11.245;12.773;113,6;218.790;250.041;329.020;131,6
FRUTALES;;;;;;;;
 MANZANA;1.088;786;692;88;10.298;8.846;9.938;112,3
 PERA;741;444;402;90,5;7.151;5.483;5.069;92,4
 NÍSPERO;1.347;1.134;1.075;94,8;17.347;15.253;15.798;103,6
 ALBARICOQUE;3.995;3.892;3.715;95,5;9.615;19.160;24.435;127,5
