CULTIVOS;MEDIA-superficie;2017-superficie;2018-superficie;Variacion-100-superficie;MEDIA-produccion;2017-produccion;2018-produccion;Variacion-100-produccion
 CEREZA;2.715;2.889;2.779;96,2;4.848;7.821;7.833;100,2
 MELOCOTÓN (3);6.604;5.137;4.727;92;31.512;44.444;41.471;93,3
 CIRUELA;2.873;1.745;1.660;95,1;9.175;14.335;10.780;75,2
 GRANADA;2.601;3.909;3.987;102;33.184;50.494;59.486;117,8
 CAQUI;8.324;15.931;16.089;101;152.926;384.795;425.075;110,5
 ALMENDRA;101.116;91.291;91.867;100,6;36.741;42.853;35.211;82,2
VIÑEDO;;;;;;;;
 UVA DE MESA;7.028;5.489;5.531;100,8;93.123;65.524;88.550;135,1
 UVA DE VINIFICACIÓN;67.467;58.339;58.729;100,7;295.471;228.726;247.930;108,4
 VINO+MOSTO (4);;-;;;2.473,40;2.147,20;2.638,70;122,9
OLIVAR;;;;;;;;
 OLIVO;93.220;91.843;92.952;101,2;109.321;170.167;98.085;57,6
 ACEITE DE OLIVA;;-;;;22.773;35.792;17.371;48,5
OTROS CUTIVOS LEÑOSOS;;;;;;;;
 ALGARROBA (GARROFA);19.816;17.715;17.494;98,8;16.593;10.459;10.899;104,2
CEREALES PARA GRANO;;;;;;;;
 ARROZ;280;353;415;117,6;1.022;1.292;1.660;128,5
 TRIGO;1.627;1.310;1.133;86,5;3.933;2.795;2.476;88,6
 CEBADA;3.869;2.503;2.751;109,9;7.030;4.590;4.617;100,6
 MAÍZ;289;212;210;99,1;2.666;2.332;2.299;98,6
TUBÉRCULOS C. HUMANO;;;;;;;;
 PATATA;615;820;798;97,3;14.230;19.403;19.155;98,7
 CHUFA;0;0;0;0;0;0;0;0
HORTALIZAS;;;;;;;;
 ALCACHOFA;1.867;2.200;2.320;105,5;25.708;28.600;29.928;104,6
 BERENJENA;63;75;75;100;2.563;4.135;4.095;99
 BRÓCULI;2.110;2.150;2.380;110,7;41.463;49.450;52.360;105,9
 CEBOLLA;399;580;470;81;13.170;21.750;17.650;81,1
 COL Y REPOLLO;167;294;189;64,3;4.846;9.515;8.118;85,3
 COLIFLOR ;323;340;380;111,8;7.907;8.500;8.740;102,8
 ESCAROLA;212;261;260;99,6;6.722;7.308;6.760;92,5
 ESPINACA;187;280;307;0;4.542;7.000;6.754;96,5
 HABAS VERDES;438;480;460;95,8;4.227;5.760;5.060;87,8
 JUDÍAS VERDES;54;60;55;91,7;565;720;605;84
 LECHUGA;997;1.122;1.165;103,8;27.870;34.630;31.770;91,7
 MELÓN;946;1.183;1.075;90,9;26.916;34.366;28.500;82,9
 PEPINO;71;70;70;100;2.824;3.550;3.525;99,3
 PIMIENTO;249;349;346;99,1;27.051;36.182;34.810;96,2
 SANDÍA;205;275;255;92,7;10.138;14.575;12.495;85,7
 TOMATE;567;541;544;100,6;59.052;50.260;51.330;102,1
OTROS CULTIVOS HERBÁCEOS;;;;;;;;
 ALFALFA;1.126;1.259;1.155;91,7;65.724;81.186;74.780;92,1
 FLORES (1);108;101;101;100;5.918;4.904;4.904;100
 P. ORNAMENTAL (1);420;363;363;100;8.813;7.753;7.753;100
CÍTRICOS (2);;;;;;;;
 NARANJO DULCE;14.757;11.763;11.668;99,2;294.183;215.654;289.001;134
 MANDARINO;6.749;7.138;6.900;96,7;121.645;110.862;149.094;134,5
 LIMONERO;10.099;11.160;12.628;113,2;217.132;248.455;326.007;131,2
FRUTALES;;;;;;;;
 MANZANA;682;576;508;88,2;7.322;7.966;8.017;100,6
 PERA;362;243;209;86;4.777;3.508;2.883;82,2
 NÍSPERO;1.049;881;836;94,9;16.362;14.160;14.727;104
 ALBARICOQUE;317;569;525;92,3;2.215;3.900;5.692;145,9
 CEREZA;1.889;2.208;2.110;95,6;3.362;6.723;6.700;99,7
 MELOCOTÓN (3);493;579;538;92,9;4.509;6.280;6.844;109
 CIRUELA;554;423;383;90,5;4.613;3.958;3.576;90,3
 GRANADA;2.333;3.188;3.208;100,6;31.799;46.370;52.533;113,3
 CAQUI;17;71;71;100;131;553;638;115,4
 ALMENDRA;25.431;21.835;21.982;100,7;15.156;14.655;14.188;96,8
VIÑEDO;;;;;;;;
 UVA DE MESA;6.278;5.287;5.345;101,1;91.601;65.127;88.090;135,3
 UVA DE VINIFICACIÓN;13.074;10.770;10.597;98,4;37.384;27.558;30.479;110,6
 VINO+MOSTO (4);;;;;277,6;197;238,4;121
OLIVAR;;;;;;;;
 OLIVO;28.212;27.621;28.160;102;34.766;64.397;46.846;72,7
 ACEITE DE OLIVA;;;;;7.574;12.897;9.230;71,6
OTROS CUTIVOS LEÑOSOS;;;;;;;;
 ALGARROBA (GARROFA);1.120;762;752;98,7;1.418;790;695;88
CEREALES PARA GRANO;;;;;;;;
 ARROZ;146;153;153;100;1.007;1.318;1.193;90,5
 TRIGO;721;949;879;92,6;1.546;1.674;1.182;70,6
 CEBADA;4.025;3.425;3.030;88,5;6.025;4.322;3.567;82,5
 MAÍZ;73;129;154;119,4;278;501;502;100,2
TUBÉRCULOS C. HUMANO;;;;;;;;
 PATATA;626;374;437;116,8;11.321;9.294;10.688;115
 CHUFA;0;0;0;0;0;0;0;0
HORTALIZAS;;;;;;;;
 ALCACHOFA;1.153;1.055;1.075;101,9;16.652;15.134;13.311;88
 BERENJENA;61;72;70;97,2;1.271;1.974;2.009;101,8
 BRÓCULI;54;81;68;84;1.320;1.616;1.285;79,5
 CEBOLLA;198;219;257;117,4;5.028;4.379;5.519;126
 COL Y REPOLLO;131;387;393;101,6;4.244;11.950;11.471;96
 COLIFLOR ;322;409;412;100,7;9.087;9.407;9.476;100,7
 ESCAROLA;62;49;235;479,6;1.337;1.164;5.111;439,1
 ESPINACA;22;13;13;100;431;278;263;94,6
 HABAS VERDES;74;68;64;94,1;812;581;518;89,2
 JUDÍAS VERDES;258;293;279;95,2;4.108;5.204;4.703;90,4
 LECHUGA;693;454;379;83,5;13.916;10.145;8.093;79,8
 MELÓN;623;323;305;94,4;11.633;7.401;6.657;89,9
 PEPINO;64;70;66;94,3;1.437;2.100;1.971;93,9
 PIMIENTO;134;140;131;93,6;2.510;3.416;3.146;92,1
 SANDÍA;530;497;461;92,8;10.960;11.734;10.776;91,8
 TOMATE;579;544;527;96,9;14.387;17.901;17.394;97,2
OTROS CULTIVOS HERBÁCEOS;;;;;;;;
 ALFALFA;172;281;291;103,6;5.373;5.738;5.769;100,5
 FLORES (1);7;5;5;100;457;225;228;101,3
 P. ORNAMENTAL (1);134;174;174;100;9.323;6.042;6.158;101,9
CÍTRICOS (2);;;;;;;;
 NARANJO DULCE;5.710;5.843;6.171;105,6;108.695;111.504;141.000;126,5
 MANDARINO;32.717;29.298;28.496;97,3;549.933;494.650;680.862;137,6
 LIMONERO;29;23;49;213;746;509;1.220;239,7
FRUTALES;;;;;;;;
 MANZANA;110;88;75;85,2;933;753;641;85,1
 PERA;234;156;149;95,5;1.888;1.565;1.566;100,1
 NÍSPERO;238;190;170;89,5;817;880;849;96,5
 ALBARICOQUE;243;210;190;90,5;1.140;1.047;946;90,4
 CEREZA;745;625;590;94,4;1.327;998;1.023;102,5
 MELOCOTÓN (3);441;378;378;100;2.268;2.190;2.082;95,1
 CIRUELA;117;111;101;91;634;689;660;95,8
 GRANADA;14;55;95;172,7;28;340;221;65
 CAQUI;227;230;215;93,5;974;2.537;1.788;70,5
 ALMENDRA;38.615;36.956;36.691;99,3;11.922;8.569;6.590;76,9
VIÑEDO;;;;;;;;
 UVA DE MESA;124;98;95;96,9;224;161;254;157,8
 UVA DE VINIFICACIÓN;979;773;770;99,6;1.454;834;1.458;174,8
 VINO+MOSTO (4);;;;;5,3;2,9;3,4;115,6
OLIVAR;;;;;;;;
 OLIVO;33.448;32.780;32.930;100,5;33.009;54.134;12.303;22,7
 ACEITE DE OLIVA;;;;;7.121;12.413;1.635;13,2
OTROS CUTIVOS LEÑOSOS;;;;;;;;
 ALGARROBA (GARROFA);8.096;7.737;7.777;100,5;4.457;2.754;2.018;73,3
CEREALES PARA GRANO;;;;;;;;
 ARROZ;14.775;14.730;14.806;100,5;118.829;111.786;125.792;112,5
 TRIGO;1.787;2.311;2.387;103,3;2.966;4.862;7.035;144,7
 CEBADA;9.401;8.823;8.345;94,6;18.587;17.430;22.832;131
 MAÍZ;321;252;121;48;3.543;2.822;1.452;51,5
TUBÉRCULOS C. HUMANO;;;;;;;;
 PATATA;739;1.002;996;99,4;23.724;32.408;35.448;109,4
 CHUFA;430;516;546;105,8;7.786;8.359;8.845;105,8
HORTALIZAS;;;;;;;;
 ALCACHOFA;869;1.110;1.036;93,3;10.385;18.369;15.950;86,8
 BERENJENA;87;118;117;99,2;4.603;7.042;7.414;105,3
 BRÓCULI;2;0;0;0;56;0;0;0
 CEBOLLA;709;1.142;1.139;99,7;37.218;62.478;68.340;109,4
 COL Y REPOLLO;708;882;524;59,4;21.983;36.926;35.405;95,9
 COLIFLOR ;420;512;505;98,6;9.130;12.902;12.625;97,9
 ESCAROLA;94;100;95;95;2.679;3.000;3.136;104,5
 ESPINACA;124;193;193;100;1.918;3.310;3.474;105
 HABAS VERDES;71;100;95;95;585;499;475;95,2
 JUDÍAS VERDES;71;98;94;95,9;1.033;1.280;1.163;90,9
 LECHUGA;649;438;436;99,5;19.463;21.055;19.710;93,6
 MELÓN;113;114;106;93;2.882;4.104;3.816;93
 PEPINO;25;23;23;100;1.357;1.300;1.348;103,7
 PIMIENTO;329;358;353;98,6;15.590;20.188;20.136;99,7
 SANDÍA;1.123;956;832;87;51.967;48.682;50.470;103,7
 TOMATE;132;174;174;100;5.970;7.523;7.939;105,5
OTROS CULTIVOS HERBÁCEOS;;;;;;;;
 ALFALFA;399;287;249;86,8;11.925;3.753;3.081;82,1
 FLORES (1);25;19;19;100;815;585;585;100
 P. ORNAMENTAL (1);1.011;1.203;1.260;104,7;46.955;38.158;38.888;101,9
CÍTRICOS (2);;;;;;;;
 NARANJO DULCE;54.263;51.024;52.186;102,3;1.226.433;1.214.454;1.500.741;123,6
 MANDARINO;47.438;41.159;40.335;98;937.311;753.021;945.499;125,6
 LIMONERO;46;62;96;154,8;912;1.077;1.793;166,5
FRUTALES;;;;;;;;
 MANZANA;297;122;109;89,3;2.043;127;1.280;1007,9
 PERA;146;45;44;97,8;486;410;620;151,2
 NÍSPERO;61;63;69;109,5;167;213;222;104,2
 ALBARICOQUE;3.435;3.113;3.000;96,4;6.260;14.213;17.797;125,2
 CEREZA;81;56;79;141,1;159;100;110;110
 MELOCOTÓN (3);5.670;4.180;3.811;91,2;24.735;35.974;32.545;90,5
 CIRUELA;2.202;1.211;1.176;97,1;3.929;9.688;6.544;67,5
 GRANADA;254;666;684;102,7;1.356;3.784;6.732;177,9
 CAQUI;8.081;15.630;15.803;101,1;151.820;381.705;422.649;110,7
 ALMENDRA;37.070;32.500;33.194;102,1;9.662;19.629;14.433;73,5
VIÑEDO;;;;;;;;
 UVA DE MESA;626;104;91;87,5;1.298;236;206;87,3
 UVA DE VINIFICACIÓN;53.414;46.796;47.362;101,2;256.633;200.334;215.993;107,8
 VINO+MOSTO (4);;;;;2.190,50;1.947,30;2.396,90;123,1
OLIVAR;;;;;;;;
 OLIVO;31.559;31.442;31.862;101,3;41.545;51.636;38.936;75,4
 ACEITE DE OLIVA;;;;;8.078;10.482;6.506;62,1
OTROS CUTIVOS LEÑOSOS;;;;;;;;
 ALGARROBA (GARROFA);10.600;9.216;8.965;97,3;10.719;6.915;8.186;118,4
